ID,題目名稱,分類,難易度,分數,作者,全站解出人數,個人完成狀態,事件/出處
65,"vault-door-7","Reverse Engineering",3,400,"Mark E. Haase",5398,未完成,"picoCTF 2019"
63,"droids2","Reverse Engineering",3,400,"Jason",2682,未完成,"picoCTF 2019"
61,"rsa-pop-quiz","Cryptography",3,200,"wparks/nmontierth",4259,未完成,"picoCTF 2019"
57,"B1ll_Gat35","Reverse Engineering",3,400,"Alex Bushkin",1271,未完成,"picoCTF 2019"
56,"B1g_Mac","Forensics",3,500,"Santiago C",3367,未完成,"picoCTF 2019"
55,"sice_cream","Binary Exploitation",3,500,"Samuel",136,未完成,"picoCTF 2019"
54,"Investigative Reversing 4","Forensics",3,400,"Santiago C/Danny T",1374,未完成,"picoCTF 2019"
50,"seed-sPRiNG","Binary Exploitation",3,350,"John Hammond",857,未完成,"picoCTF 2019"
47,"investigation_encoded_1","Forensics",3,450,"Santiago C",405,未完成,"picoCTF 2019"
42,"WebNet1","Forensics",3,450,"Jason",5964,未完成,"picoCTF 2019"
39,"Need For Speed","Reverse Engineering",3,400,"Alexander Bushkin",1788,未完成,"picoCTF 2019"
36,"investigation_encoded_2","Forensics",3,500,"Santiago C",342,未完成,"picoCTF 2019"
33,"Java Script Kiddie 2","Web Exploitation",3,450,"John Johnson",1204,未完成,"picoCTF 2019"
32,"WebNet0","Forensics",3,350,"Jason",6753,未完成,"picoCTF 2019"
29,"Java Script Kiddie","Web Exploitation",3,400,"John Johnson",2607,未完成,"picoCTF 2019"
28,"m00nwalk2","Forensics",3,300,"Joon",4528,未完成,"picoCTF 2019"
27,"Investigative Reversing 1","Forensics",3,350,"Danny Tunitis",1575,未完成,"picoCTF 2019"
24,"Forky","Reverse Engineering",3,500,"Samuel",3422,未完成,"picoCTF 2019"
23,"droids3","Reverse Engineering",3,450,"Jason",2626,未完成,"picoCTF 2019"
17,"droids4","Reverse Engineering",3,500,"Jason",2906,未完成,"picoCTF 2019"
16,"asm2","Reverse Engineering",3,250,"Sanjay C",3933,未完成,"picoCTF 2019"
14,"droids1","Reverse Engineering",3,350,"Jason",2900,未完成,"picoCTF 2019"
13,"Investigative Reversing 2","Forensics",3,350,"Santiago C/Danny Tunitis",1108,未完成,"picoCTF 2019"
11,"droids0","Reverse Engineering",3,300,"Jason",3424,未完成,"picoCTF 2019"
10,"vault-door-8","Reverse Engineering",3,450,"Mark E. Haase",4193,未完成,"picoCTF 2019"
5,"asm4","Reverse Engineering",3,400,"Sanjay C",1422,未完成,"picoCTF 2019"
2,"b00tl3gRSA2","Cryptography",3,400,"invisibility",4090,未完成,"picoCTF 2019"
