Topic,Title,Tier,Difficulty,URL,Slug
Web Cache Deception,Exploiting cache server normalization for web cache deception,🟢 FREE,Practitioner,https://portswigger.net/web-security/web-cache-deception/lab-wcd-exploiting-cache-server-normalization,lab-wcd-exploiting-cache-server-normalization
Web Cache Deception,Exploiting exact-match cache rules for web cache deception,🟢 FREE,Expert,https://portswigger.net/web-security/web-cache-deception/lab-wcd-exploiting-exact-match-cache-rules,lab-wcd-exploiting-exact-match-cache-rules
HTTP Host Header Attacks,Basic password reset poisoning,🟢 FREE,Apprentice,https://portswigger.net/web-security/host-header/exploiting/password-reset-poisoning/lab-host-header-basic-password-reset-poisoning,lab-host-header-basic-password-reset-poisoning
HTTP Host Header Attacks,Host header authentication bypass,🟢 FREE,Apprentice,https://portswigger.net/web-security/host-header/exploiting/lab-host-header-authentication-bypass,lab-host-header-authentication-bypass
HTTP Host Header Attacks,Web cache poisoning via ambiguous requests,🟢 FREE,Practitioner,https://portswigger.net/web-security/host-header/exploiting/lab-host-header-web-cache-poisoning-via-ambiguous-requests,lab-host-header-web-cache-poisoning-via-ambiguous-requests
HTTP Host Header Attacks,Routing-based SSRF,🟢 FREE,Practitioner,https://portswigger.net/web-security/host-header/exploiting/lab-host-header-routing-based-ssrf,lab-host-header-routing-based-ssrf
HTTP Host Header Attacks,SSRF via flawed request parsing,🟢 FREE,Practitioner,https://portswigger.net/web-security/host-header/exploiting/lab-host-header-ssrf-via-flawed-request-parsing,lab-host-header-ssrf-via-flawed-request-parsing
HTTP Host Header Attacks,Host validation bypass via connection state attack,🟢 FREE,Practitioner,https://portswigger.net/web-security/host-header/exploiting/lab-host-header-host-validation-bypass-via-connection-state-attack,lab-host-header-host-validation-bypass-via-connection-state-attack
HTTP Host Header Attacks,Password reset poisoning via dangling markup,🟢 FREE,Expert,https://portswigger.net/web-security/host-header/exploiting/password-reset-poisoning/lab-host-header-password-reset-poisoning-via-dangling-markup,lab-host-header-password-reset-poisoning-via-dangling-markup
HTTP Request Smuggling,"HTTP request smuggling, basic CL.TE vulnerability",🟢 FREE,Practitioner,https://portswigger.net/web-security/request-smuggling/lab-basic-cl-te,lab-basic-cl-te
HTTP Request Smuggling,"HTTP request smuggling, basic TE.CL vulnerability",🟢 FREE,Practitioner,https://portswigger.net/web-security/request-smuggling/lab-basic-te-cl,lab-basic-te-cl
